GEO_PICT,TIME_PERIOD,value,REF_AREA,COUNTRY
TK,2024,0.8,TK,Tokelau
TK,2025,0.4,TK,Tokelau
FJ,1990,0.1,FJ,Fiji
FJ,1991,-0.1,FJ,Fiji
FJ,1992,-0.2,FJ,Fiji
FJ,1993,-0.5,FJ,Fiji
FJ,1994,-0.4,FJ,Fiji
FJ,1995,0.2,FJ,Fiji
FJ,1996,0.3,FJ,Fiji
FJ,1997,-0.2,FJ,Fiji
FJ,1998,0.0,FJ,Fiji
FJ,1999,0.4,FJ,Fiji
FJ,2000,0.5,FJ,Fiji
FJ,2001,0.4,FJ,Fiji
FJ,2002,0.3,FJ,Fiji
FJ,2003,0.2,FJ,Fiji
FJ,2004,0.2,FJ,Fiji
FJ,2005,0.3,FJ,Fiji
FJ,2006,0.2,FJ,Fiji
FJ,2007,0.4,FJ,Fiji
FJ,2008,0.6,FJ,Fiji
FJ,2009,0.1,FJ,Fiji
FJ,2010,0.4,FJ,Fiji
FJ,2011,0.6,FJ,Fiji
FJ,2012,0.4,FJ,Fiji
FJ,2013,0.6,FJ,Fiji
FJ,2014,0.4,FJ,Fiji
FJ,2015,-0.2,FJ,Fiji
FJ,2016,0.4,FJ,Fiji
FJ,2017,0.5,FJ,Fiji
FJ,2018,0.5,FJ,Fiji
FJ,2019,0.4,FJ,Fiji
FJ,2020,0.6,FJ,Fiji
FJ,2021,0.7,FJ,Fiji
FJ,2022,1.1,FJ,Fiji
FJ,2023,0.6,FJ,Fiji
FJ,2024,0.6,FJ,Fiji
FJ,2025,0.7,FJ,Fiji
NC,1990,0.2,NC,New Caledonia
NC,1991,-0.5,NC,New Caledonia
NC,1992,-0.4,NC,New Caledonia
NC,1993,-0.5,NC,New Caledonia
NC,1994,-0.7,NC,New Caledonia
NC,1995,0.0,NC,New Caledonia
NC,1996,0.1,NC,New Caledonia
NC,1997,-0.1,NC,New Caledonia
NC,1998,0.9,NC,New Caledonia
NC,1999,0.2,NC,New Caledonia
NC,2000,-0.1,NC,New Caledonia
NC,2001,0.3,NC,New Caledonia
NC,2002,0.2,NC,New Caledonia
NC,2003,0.1,NC,New Caledonia
NC,2004,0.1,NC,New Caledonia
NC,2005,0.2,NC,New Caledonia
NC,2006,-0.1,NC,New Caledonia
NC,2007,0.1,NC,New Caledonia
NC,2008,0.4,NC,New Caledonia
NC,2009,0.1,NC,New Caledonia
NC,2010,0.4,NC,New Caledonia
NC,2011,0.4,NC,New Caledonia
NC,2012,0.0,NC,New Caledonia
NC,2013,0.2,NC,New Caledonia
NC,2014,0.1,NC,New Caledonia
NC,2015,0.0,NC,New Caledonia
NC,2016,0.7,NC,New Caledonia
NC,2017,0.5,NC,New Caledonia
NC,2018,0.3,NC,New Caledonia
NC,2019,0.2,NC,New Caledonia
NC,2020,0.4,NC,New Caledonia
NC,2021,0.4,NC,New Caledonia
NC,2022,1.1,NC,New Caledonia
NC,2023,0.3,NC,New Caledonia
NC,2024,0.6,NC,New Caledonia
NC,2025,0.7,NC,New Caledonia
MH,1990,0.4,MH,Marshall Islands
MH,1991,0.3,MH,Marshall Islands
MH,1992,0.1,MH,Marshall Islands
MH,1993,0.0,MH,Marshall Islands
MH,1994,0.2,MH,Marshall Islands
MH,1995,0.3,MH,Marshall Islands
MH,1996,0.3,MH,Marshall Islands
MH,1997,0.3,MH,Marshall Islands
MH,1998,-0.3,MH,Marshall Islands
MH,1999,-0.3,MH,Marshall Islands
MH,2000,-0.1,MH,Marshall Islands
MH,2001,0.2,MH,Marshall Islands
MH,2002,0.4,MH,Marshall Islands
MH,2003,0.5,MH,Marshall Islands
MH,2004,0.6,MH,Marshall Islands
MH,2005,0.5,MH,Marshall Islands
MH,2006,0.4,MH,Marshall Islands
MH,2007,0.3,MH,Marshall Islands
MH,2008,-0.2,MH,Marshall Islands
MH,2009,0.4,MH,Marshall Islands
MH,2010,0.0,MH,Marshall Islands
MH,2011,0.2,MH,Marshall Islands
MH,2012,0.2,MH,Marshall Islands
MH,2013,0.4,MH,Marshall Islands
MH,2014,0.7,MH,Marshall Islands
MH,2015,0.7,MH,Marshall Islands
MH,2016,0.5,MH,Marshall Islands
MH,2017,0.6,MH,Marshall Islands
MH,2018,0.7,MH,Marshall Islands
MH,2019,0.7,MH,Marshall Islands
MH,2020,0.5,MH,Marshall Islands
MH,2021,0.3,MH,Marshall Islands
MH,2022,0.2,MH,Marshall Islands
MH,2023,0.6,MH,Marshall Islands
MH,2024,0.8,MH,Marshall Islands
MH,2025,0.4,MH,Marshall Islands
PN,1990,0.1,PN,Pitcairn Islands
PN,1991,-0.1,PN,Pitcairn Islands
PN,1992,-0.1,PN,Pitcairn Islands
PN,1993,-0.4,PN,Pitcairn Islands
PN,1994,0.0,PN,Pitcairn Islands
PN,1995,0.3,PN,Pitcairn Islands
PN,1996,-0.1,PN,Pitcairn Islands
PN,1997,0.1,PN,Pitcairn Islands
PN,1998,-0.2,PN,Pitcairn Islands
PN,1999,0.4,PN,Pitcairn Islands
PN,2000,0.3,PN,Pitcairn Islands
PN,2001,0.5,PN,Pitcairn Islands
PN,2002,0.8,PN,Pitcairn Islands
PN,2003,0.1,PN,Pitcairn Islands
PN,2004,0.0,PN,Pitcairn Islands
PN,2005,0.1,PN,Pitcairn Islands
PN,2006,0.4,PN,Pitcairn Islands
PN,2007,0.2,PN,Pitcairn Islands
PN,2008,0.0,PN,Pitcairn Islands
PN,2009,0.1,PN,Pitcairn Islands
PN,2010,0.1,PN,Pitcairn Islands
PN,2011,0.1,PN,Pitcairn Islands
PN,2012,0.1,PN,Pitcairn Islands
PN,2013,0.0,PN,Pitcairn Islands
PN,2014,-0.1,PN,Pitcairn Islands
PN,2015,0.0,PN,Pitcairn Islands
PN,2016,0.2,PN,Pitcairn Islands
PN,2017,0.5,PN,Pitcairn Islands
PN,2018,0.5,PN,Pitcairn Islands
PN,2019,0.1,PN,Pitcairn Islands
PN,2020,0.2,PN,Pitcairn Islands
PN,2021,0.3,PN,Pitcairn Islands
PN,2022,0.3,PN,Pitcairn Islands
PN,2023,0.3,PN,Pitcairn Islands
PN,2024,-0.1,PN,Pitcairn Islands
PN,2025,0.6,PN,Pitcairn Islands
PF,1990,-0.1,PF,French Polynesia
PF,1991,0.4,PF,French Polynesia
PF,1992,0.3,PF,French Polynesia
PF,1993,0.2,PF,French Polynesia
PF,1994,0.4,PF,French Polynesia
PF,1995,0.2,PF,French Polynesia
PF,1996,-0.1,PF,French Polynesia
PF,1997,0.1,PF,French Polynesia
PF,1998,0.3,PF,French Polynesia
PF,1999,0.1,PF,French Polynesia
PF,2000,0.0,PF,French Polynesia
PF,2001,0.2,PF,French Polynesia
PF,2002,0.4,PF,French Polynesia
PF,2003,0.5,PF,French Polynesia
PF,2004,0.4,PF,French Polynesia
PF,2005,0.4,PF,French Polynesia
PF,2006,0.4,PF,French Polynesia
PF,2007,0.4,PF,French Polynesia
PF,2008,-0.1,PF,French Polynesia
PF,2009,0.4,PF,French Polynesia
PF,2010,0.3,PF,French Polynesia
PF,2011,-0.5,PF,French Polynesia
PF,2012,0.4,PF,French Polynesia
PF,2013,0.3,PF,French Polynesia
PF,2014,0.2,PF,French Polynesia
PF,2015,0.4,PF,French Polynesia
PF,2016,0.9,PF,French Polynesia
PF,2017,0.6,PF,French Polynesia
PF,2018,0.2,PF,French Polynesia
PF,2019,0.6,PF,French Polynesia
PF,2020,0.5,PF,French Polynesia
PF,2021,0.1,PF,French Polynesia
PF,2022,-0.3,PF,French Polynesia
PF,2023,0.5,PF,French Polynesia
PF,2024,0.7,PF,French Polynesia
PF,2025,0.5,PF,French Polynesia
MP,1990,-0.2,MP,Northern Mariana Islands
MP,1991,-0.2,MP,Northern Mariana Islands
MP,1992,-0.3,MP,Northern Mariana Islands
MP,1993,-0.3,MP,Northern Mariana Islands
MP,1994,-0.1,MP,Northern Mariana Islands
MP,1995,0.0,MP,Northern Mariana Islands
MP,1996,0.3,MP,Northern Mariana Islands
MP,1997,0.0,MP,Northern Mariana Islands
MP,1998,0.2,MP,Northern Mariana Islands
MP,1999,0.6,MP,Northern Mariana Islands
MP,2000,0.4,MP,Northern Mariana Islands
MP,2001,0.6,MP,Northern Mariana Islands
MP,2002,0.3,MP,Northern Mariana Islands
MP,2003,0.3,MP,Northern Mariana Islands
MP,2004,0.1,MP,Northern Mariana Islands
MP,2005,0.2,MP,Northern Mariana Islands
MP,2006,0.1,MP,Northern Mariana Islands
MP,2007,0.4,MP,Northern Mariana Islands
MP,2008,0.6,MP,Northern Mariana Islands
MP,2009,0.4,MP,Northern Mariana Islands
MP,2010,0.2,MP,Northern Mariana Islands
MP,2011,0.3,MP,Northern Mariana Islands
MP,2012,0.2,MP,Northern Mariana Islands
MP,2013,0.4,MP,Northern Mariana Islands
MP,2014,0.4,MP,Northern Mariana Islands
MP,2015,0.2,MP,Northern Mariana Islands
MP,2016,0.5,MP,Northern Mariana Islands
MP,2017,0.8,MP,Northern Mariana Islands
MP,2018,0.6,MP,Northern Mariana Islands
MP,2019,0.7,MP,Northern Mariana Islands
MP,2020,0.8,MP,Northern Mariana Islands
MP,2021,0.8,MP,Northern Mariana Islands
MP,2022,0.7,MP,Northern Mariana Islands
MP,2023,0.6,MP,Northern Mariana Islands
MP,2024,0.6,MP,Northern Mariana Islands
MP,2025,0.9,MP,Northern Mariana Islands
GU,1990,-0.1,GU,Guam
GU,1991,-0.2,GU,Guam
GU,1992,-0.4,GU,Guam
GU,1993,-0.3,GU,Guam
GU,1994,0.0,GU,Guam
GU,1995,0.2,GU,Guam
GU,1996,0.4,GU,Guam
GU,1997,0.0,GU,Guam
GU,1998,0.2,GU,Guam
GU,1999,0.4,GU,Guam
GU,2000,0.4,GU,Guam
GU,2001,0.5,GU,Guam
GU,2002,0.3,GU,Guam
GU,2003,0.3,GU,Guam
GU,2004,0.1,GU,Guam
GU,2005,0.2,GU,Guam
GU,2006,0.1,GU,Guam
GU,2007,0.4,GU,Guam
GU,2008,0.5,GU,Guam
GU,2009,0.4,GU,Guam
GU,2010,0.3,GU,Guam
GU,2011,0.5,GU,Guam
GU,2012,0.4,GU,Guam
GU,2013,0.5,GU,Guam
GU,2014,0.5,GU,Guam
GU,2015,0.2,GU,Guam
GU,2016,0.4,GU,Guam
GU,2017,0.8,GU,Guam
GU,2018,0.6,GU,Guam
GU,2019,0.6,GU,Guam
GU,2020,0.7,GU,Guam
GU,2021,0.8,GU,Guam
GU,2022,0.7,GU,Guam
GU,2023,0.7,GU,Guam
GU,2024,0.6,GU,Guam
GU,2025,0.9,GU,Guam
PW,1990,-0.2,PW,Palau
PW,1991,-0.4,PW,Palau
PW,1992,-0.2,PW,Palau
PW,1993,-0.3,PW,Palau
PW,1994,-0.1,PW,Palau
PW,1995,0.2,PW,Palau
PW,1996,0.3,PW,Palau
PW,1997,0.0,PW,Palau
PW,1998,0.4,PW,Palau
PW,1999,0.3,PW,Palau
PW,2000,0.3,PW,Palau
PW,2001,0.3,PW,Palau
PW,2002,0.1,PW,Palau
PW,2003,0.1,PW,Palau
PW,2004,0.0,PW,Palau
PW,2005,0.2,PW,Palau
PW,2006,0.2,PW,Palau
PW,2007,0.2,PW,Palau
PW,2008,0.2,PW,Palau
PW,2009,0.3,PW,Palau
PW,2010,0.7,PW,Palau
PW,2011,0.4,PW,Palau
PW,2012,0.4,PW,Palau
PW,2013,0.6,PW,Palau
PW,2014,0.5,PW,Palau
PW,2015,0.2,PW,Palau
PW,2016,0.6,PW,Palau
PW,2017,0.7,PW,Palau
PW,2018,0.5,PW,Palau
PW,2019,0.3,PW,Palau
PW,2020,0.8,PW,Palau
PW,2021,0.8,PW,Palau
PW,2022,0.8,PW,Palau
PW,2023,0.8,PW,Palau
PW,2024,0.9,PW,Palau
PW,2025,0.9,PW,Palau
VU,1990,0.2,VU,Vanuatu
VU,1991,-0.3,VU,Vanuatu
VU,1992,-0.4,VU,Vanuatu
VU,1993,-0.7,VU,Vanuatu
VU,1994,-0.5,VU,Vanuatu
VU,1995,0.1,VU,Vanuatu
VU,1996,0.2,VU,Vanuatu
VU,1997,-0.2,VU,Vanuatu
VU,1998,0.5,VU,Vanuatu
VU,1999,0.4,VU,Vanuatu
VU,2000,0.3,VU,Vanuatu
VU,2001,0.4,VU,Vanuatu
VU,2002,0.2,VU,Vanuatu
VU,2003,0.2,VU,Vanuatu
VU,2004,0.0,VU,Vanuatu
VU,2005,0.3,VU,Vanuatu
VU,2006,0.1,VU,Vanuatu
VU,2007,0.4,VU,Vanuatu
VU,2008,0.5,VU,Vanuatu
VU,2009,0.1,VU,Vanuatu
VU,2010,0.4,VU,Vanuatu
VU,2011,0.5,VU,Vanuatu
VU,2012,0.2,VU,Vanuatu
VU,2013,0.4,VU,Vanuatu
VU,2014,0.2,VU,Vanuatu
VU,2015,-0.1,VU,Vanuatu
VU,2016,0.6,VU,Vanuatu
VU,2017,0.5,VU,Vanuatu
VU,2018,0.4,VU,Vanuatu
VU,2019,0.2,VU,Vanuatu
VU,2020,0.5,VU,Vanuatu
VU,2021,0.6,VU,Vanuatu
VU,2022,1.2,VU,Vanuatu
VU,2023,0.5,VU,Vanuatu
VU,2024,0.7,VU,Vanuatu
VU,2025,0.9,VU,Vanuatu
TO,1990,0.0,TO,Tonga
TO,1991,0.0,TO,Tonga
TO,1992,0.0,TO,Tonga
TO,1993,-0.3,TO,Tonga
TO,1994,-0.3,TO,Tonga
TO,1995,0.2,TO,Tonga
TO,1996,0.3,TO,Tonga
TO,1997,-0.2,TO,Tonga
TO,1998,-0.1,TO,Tonga
TO,1999,0.4,TO,Tonga
TO,2000,0.5,TO,Tonga
TO,2001,0.2,TO,Tonga
TO,2002,0.3,TO,Tonga
TO,2003,0.3,TO,Tonga
TO,2004,0.4,TO,Tonga
TO,2005,0.4,TO,Tonga
TO,2006,0.4,TO,Tonga
TO,2007,0.4,TO,Tonga
TO,2008,0.5,TO,Tonga
TO,2009,0.3,TO,Tonga
TO,2010,0.6,TO,Tonga
TO,2011,0.7,TO,Tonga
TO,2012,0.4,TO,Tonga
TO,2013,0.6,TO,Tonga
TO,2014,0.5,TO,Tonga
TO,2015,-0.1,TO,Tonga
TO,2016,0.4,TO,Tonga
TO,2017,0.6,TO,Tonga
TO,2018,0.5,TO,Tonga
TO,2019,0.5,TO,Tonga
TO,2020,0.7,TO,Tonga
TO,2021,0.8,TO,Tonga
TO,2022,1.1,TO,Tonga
TO,2023,0.5,TO,Tonga
TO,2024,0.6,TO,Tonga
TO,2025,0.6,TO,Tonga
FM,1990,0.0,FM,Federated States of Micronesia
FM,1991,-0.2,FM,Federated States of Micronesia
FM,1992,-0.3,FM,Federated States of Micronesia
FM,1993,-0.4,FM,Federated States of Micronesia
FM,1994,0.0,FM,Federated States of Micronesia
FM,1995,0.3,FM,Federated States of Micronesia
FM,1996,0.4,FM,Federated States of Micronesia
FM,1997,0.0,FM,Federated States of Micronesia
FM,1998,0.2,FM,Federated States of Micronesia
FM,1999,0.2,FM,Federated States of Micronesia
FM,2000,0.3,FM,Federated States of Micronesia
FM,2001,0.4,FM,Federated States of Micronesia
FM,2002,0.2,FM,Federated States of Micronesia
FM,2003,0.3,FM,Federated States of Micronesia
FM,2004,0.2,FM,Federated States of Micronesia
FM,2005,0.3,FM,Federated States of Micronesia
FM,2006,0.3,FM,Federated States of Micronesia
FM,2007,0.4,FM,Federated States of Micronesia
FM,2008,0.3,FM,Federated States of Micronesia
FM,2009,0.4,FM,Federated States of Micronesia
FM,2010,0.5,FM,Federated States of Micronesia
FM,2011,0.5,FM,Federated States of Micronesia
FM,2012,0.4,FM,Federated States of Micronesia
FM,2013,0.5,FM,Federated States of Micronesia
FM,2014,0.6,FM,Federated States of Micronesia
FM,2015,0.3,FM,Federated States of Micronesia
FM,2016,0.6,FM,Federated States of Micronesia
FM,2017,0.8,FM,Federated States of Micronesia
FM,2018,0.6,FM,Federated States of Micronesia
FM,2019,0.5,FM,Federated States of Micronesia
FM,2020,0.8,FM,Federated States of Micronesia
FM,2021,0.8,FM,Federated States of Micronesia
FM,2022,0.7,FM,Federated States of Micronesia
FM,2023,0.7,FM,Federated States of Micronesia
FM,2024,0.8,FM,Federated States of Micronesia
FM,2025,0.9,FM,Federated States of Micronesia
AS,1990,0.1,AS,American Samoa
AS,1991,0.4,AS,American Samoa
AS,1992,0.2,AS,American Samoa
AS,1993,0.1,AS,American Samoa
AS,1994,0.3,AS,American Samoa
AS,1995,0.3,AS,American Samoa
AS,1996,0.1,AS,American Samoa
AS,1997,-0.1,AS,American Samoa
AS,1998,-0.2,AS,American Samoa
AS,1999,0.0,AS,American Samoa
AS,2000,0.2,AS,American Samoa
AS,2001,0.2,AS,American Samoa
AS,2002,0.4,AS,American Samoa
AS,2003,0.5,AS,American Samoa
AS,2004,0.5,AS,American Samoa
AS,2005,0.6,AS,American Samoa
AS,2006,0.5,AS,American Samoa
AS,2007,0.5,AS,American Samoa
AS,2008,0.0,AS,American Samoa
AS,2009,0.4,AS,American Samoa
AS,2010,0.4,AS,American Samoa
AS,2011,0.0,AS,American Samoa
AS,2012,0.4,AS,American Samoa
AS,2013,0.5,AS,American Samoa
AS,2014,0.6,AS,American Samoa
AS,2015,0.5,AS,American Samoa
AS,2016,0.6,AS,American Samoa
AS,2017,0.6,AS,American Samoa
AS,2018,0.6,AS,American Samoa
AS,2019,0.7,AS,American Samoa
AS,2020,0.6,AS,American Samoa
AS,2021,0.3,AS,American Samoa
AS,2022,0.2,AS,American Samoa
AS,2023,0.6,AS,American Samoa
AS,2024,0.8,AS,American Samoa
AS,2025,0.5,AS,American Samoa
NU,1990,0.0,NU,Niue
NU,1991,0.3,NU,Niue
NU,1992,0.2,NU,Niue
NU,1993,0.0,NU,Niue
NU,1994,0.1,NU,Niue
NU,1995,0.3,NU,Niue
NU,1996,0.3,NU,Niue
NU,1997,-0.2,NU,Niue
NU,1998,-0.3,NU,Niue
NU,1999,0.4,NU,Niue
NU,2000,0.5,NU,Niue
NU,2001,0.2,NU,Niue
NU,2002,0.4,NU,Niue
NU,2003,0.4,NU,Niue
NU,2004,0.6,NU,Niue
NU,2005,0.6,NU,Niue
NU,2006,0.5,NU,Niue
NU,2007,0.5,NU,Niue
NU,2008,0.3,NU,Niue
NU,2009,0.4,NU,Niue
NU,2010,0.7,NU,Niue
NU,2011,0.5,NU,Niue
NU,2012,0.4,NU,Niue
NU,2013,0.6,NU,Niue
NU,2014,0.6,NU,Niue
NU,2015,0.1,NU,Niue
NU,2016,0.4,NU,Niue
NU,2017,0.8,NU,Niue
NU,2018,0.6,NU,Niue
NU,2019,0.7,NU,Niue
NU,2020,0.7,NU,Niue
NU,2021,0.7,NU,Niue
NU,2022,0.7,NU,Niue
NU,2023,0.5,NU,Niue
NU,2024,0.6,NU,Niue
NU,2025,0.5,NU,Niue
NR,1990,0.4,NR,Nauru
NR,1991,0.5,NR,Nauru
NR,1992,0.1,NR,Nauru
NR,1993,0.1,NR,Nauru
NR,1994,0.3,NR,Nauru
NR,1995,0.4,NR,Nauru
NR,1996,0.1,NR,Nauru
NR,1997,0.2,NR,Nauru
NR,1998,-0.4,NR,Nauru
NR,1999,-0.6,NR,Nauru
NR,2000,-0.4,NR,Nauru
NR,2001,0.2,NR,Nauru
NR,2002,0.6,NR,Nauru
NR,2003,0.8,NR,Nauru
NR,2004,0.7,NR,Nauru
NR,2005,0.7,NR,Nauru
NR,2006,0.5,NR,Nauru
NR,2007,0.4,NR,Nauru
NR,2008,-0.5,NR,Nauru
NR,2009,0.5,NR,Nauru
NR,2010,0.0,NR,Nauru
NR,2011,-0.4,NR,Nauru
NR,2012,0.1,NR,Nauru
NR,2013,0.3,NR,Nauru
NR,2014,0.8,NR,Nauru
NR,2015,0.7,NR,Nauru
NR,2016,0.7,NR,Nauru
NR,2017,0.5,NR,Nauru
NR,2018,0.8,NR,Nauru
NR,2019,0.9,NR,Nauru
NR,2020,0.6,NR,Nauru
NR,2021,0.0,NR,Nauru
NR,2022,-0.2,NR,Nauru
NR,2023,0.7,NR,Nauru
NR,2024,1.1,NR,Nauru
NR,2025,0.3,NR,Nauru
KI,1990,0.5,KI,Kiribati
KI,1991,0.7,KI,Kiribati
KI,1992,0.5,KI,Kiribati
KI,1993,0.4,KI,Kiribati
KI,1994,0.6,KI,Kiribati
KI,1995,0.4,KI,Kiribati
KI,1996,-0.1,KI,Kiribati
KI,1997,0.6,KI,Kiribati
KI,1998,-0.3,KI,Kiribati
KI,1999,-0.9,KI,Kiribati
KI,2000,-0.7,KI,Kiribati
KI,2001,0.0,KI,Kiribati
KI,2002,0.7,KI,Kiribati
KI,2003,0.6,KI,Kiribati
KI,2004,0.7,KI,Kiribati
KI,2005,0.5,KI,Kiribati
KI,2006,0.4,KI,Kiribati
KI,2007,0.1,KI,Kiribati
KI,2008,-0.8,KI,Kiribati
KI,2009,0.4,KI,Kiribati
KI,2010,-0.2,KI,Kiribati
KI,2011,-0.6,KI,Kiribati
KI,2012,0.0,KI,Kiribati
KI,2013,0.1,KI,Kiribati
KI,2014,0.7,KI,Kiribati
KI,2015,1.2,KI,Kiribati
KI,2016,0.7,KI,Kiribati
KI,2017,0.3,KI,Kiribati
KI,2018,0.6,KI,Kiribati
KI,2019,0.9,KI,Kiribati
KI,2020,0.3,KI,Kiribati
KI,2021,-0.2,KI,Kiribati
KI,2022,-0.6,KI,Kiribati
KI,2023,0.7,KI,Kiribati
KI,2024,0.9,KI,Kiribati
KI,2025,0.0,KI,Kiribati
TV,1990,0.3,TV,Tuvalu
TV,1991,0.4,TV,Tuvalu
TV,1992,0.2,TV,Tuvalu
TV,1993,0.1,TV,Tuvalu
TV,1994,0.3,TV,Tuvalu
TV,1995,0.4,TV,Tuvalu
TV,1996,0.1,TV,Tuvalu
TV,1997,0.1,TV,Tuvalu
